Walker		
3		
X		
Y		
CU(%)		
11	8	0
8	30	0
9	48	2.244
8	69	4.344
9	90	4.121
10	110	5.872
9	129	1.923
11	150	0.313
10	170	3.885
8	188	1.746
9	209	1.878
10	231	0.821
11	250	0.811
10	269	1.243
8	288	1.88
31	11	0.287
29	29	0.781
28	51	2.921
31	68	8.952
28	88	7.026
30	110	4.903
28	130	1.361
28	150	3.35
30	171	2.77
28	190	2.061
31	209	0.245
28	229	1.981
30	250	0.603
31	269	3.126
31	289	2.409
49	11	6.533
49	29	0.964
51	48	1.05
49	68	0.378
50	88	8.208
51	109	4.507
48	129	1.904
49	151	7.733
51	168	9.719
48	190	7.624
50	211	9.683
49	231	3.947
51	250	3.43
50	268	8.638
51	290	1.596
71	9	4.458
71	29	6.733
70	51	2.526
68	70	5.375
69	90	0
68	110	3.291
68	128	6.463
69	148	6.162
69	169	7.613
70	191	9.18
69	208	0.974
69	229	0
68	250	0
71	268	0
71	288	0.024
91	11	3.683
91	29	0.916
90	49	6.547
91	68	6.455
91	91	9.072
91	111	8.263
89	130	9.753
88	149	5.511
89	170	1.555
89	188	0.107
90	211	0
90	230	0
88	249	0
88	269	0.121
88	288	0.622
109	11	3.996
111	31	1.766
108	49	4.02
109	68	2.606
108	88	1.92
110	109	2.376
109	129	7.02
110	148	0.385
111	169	0.221
111	191	0.027
110	208	0.179
109	230	1.742
109	249	0.129
109	268	1.878
111	291	2.688
130	9	5.725
131	31	0.291
130	48	0.752
128	70	3.999
129	90	2.431
131	109	0
129	128	2.447
131	148	1.852
131	169	0.26
129	191	0
128	209	1.003
130	231	5.303
131	248	1.074
128	269	1.593
131	288	0.707
148	8	2.602
149	29	3.26
150	49	3.327
151	69	5.313
150	89	5.472
150	109	4.827
150	129	0.841
150	151	0.047
149	169	1.806
151	190	0
148	208	3.424
150	228	6.023
149	251	2.091
149	271	0.794
148	291	1.041
168	8	4.46
171	29	1.899
169	49	2.804
168	69	0
168	91	4.993
